50 326
1 32 1
1 23 1
1 15 1
1 9 1
1 25 1
1 32 1
1 36 1
1 13 1
2 43 1
2 41 1
2 25 1
2 7 1
2 27 1
2 8 1
2 27 1
2 32 1
3 13 1
3 37 1
3 11 1
3 39 1
3 42 1
3 32 1
3 43 1
3 4 1
4 42 1
4 22 1
4 27 1
4 40 1
4 14 1
4 14 1
4 22 1
4 34 1
4 34 1
5 41 1
5 1 1
5 24 1
5 28 1
6 21 1
6 27 1
6 35 1
6 33 1
6 48 1
6 49 1
6 37 1
7 48 1
7 44 1
7 16 1
7 44 1
7 8 1
7 3 1
7 39 1
8 12 1
8 16 1
8 20 1
8 41 1
8 3 1
9 15 1
9 19 1
9 33 1
10 46 1
10 29 1
10 33 1
10 4 1
11 36 1
11 30 1
11 47 1
11 1 1
11 30 1
11 12 1
11 15 1
11 2 1
11 36 1
12 6 1
12 18 1
12 9 1
12 9 1
12 21 1
12 41 1
12 23 1
12 49 1
12 13 1
13 28 1
13 7 1
13 20 1
13 3 1
13 29 1
13 21 1
14 41 1
14 9 1
14 45 1
14 1 1
14 33 1
14 2 1
14 47 1
14 45 1
15 21 1
15 4 1
15 49 1
15 35 1
15 2 1
15 45 1
15 9 1
16 36 1
16 24 1
16 8 1
16 10 1
16 30 1
16 43 1
16 17 1
16 9 1
17 7 1
17 30 1
17 15 1
17 43 1
18 19 1
18 37 1
18 3 1
18 41 1
18 28 1
18 48 1
19 4 1
19 12 1
19 6 1
19 29 1
19 4 1
19 27 1
19 24 1
20 35 1
20 6 1
20 21 1
20 13 1
20 34 1
20 33 1
20 40 1
21 42 1
21 32 1
21 39 1
21 24 1
21 19 1
21 23 1
21 13 1
22 18 1
22 24 1
22 20 1
22 37 1
22 25 1
22 2 1
22 12 1
23 32 1
23 30 1
23 40 1
23 11 1
24 39 1
24 23 1
24 7 1
24 17 1
24 31 1
24 48 1
24 37 1
25 19 1
25 7 1
25 31 1
25 26 1
25 15 1
25 9 1
26 19 1
26 14 1
26 31 1
26 15 1
26 3 1
26 25 1
26 38 1
26 29 1
27 42 1
27 20 1
27 11 1
27 33 1
28 48 1
28 14 1
28 21 1
28 44 1
28 2 1
28 24 1
28 26 1
28 14 1
29 43 1
29 37 1
29 39 1
29 35 1
30 43 1
30 31 1
30 17 1
30 42 1
30 2 1
30 16 1
30 14 1
30 40 1
30 5 1
31 4 1
31 33 1
31 22 1
32 44 1
32 4 1
32 26 1
32 11 1
32 28 1
32 28 1
32 44 1
33 39 1
33 12 1
33 47 1
33 2 1
33 24 1
33 10 1
33 2 1
34 21 1
34 33 1
34 16 1
34 28 1
34 30 1
35 14 1
35 38 1
35 22 1
35 16 1
35 47 1
36 43 1
36 23 1
36 48 1
36 22 1
36 10 1
36 30 1
36 25 1
36 14 1
36 32 1
37 15 1
37 6 1
37 25 1
37 34 1
37 3 1
37 45 1
37 47 1
37 33 1
38 23 1
38 4 1
38 2 1
38 19 1
38 36 1
38 16 1
38 28 1
39 37 1
39 18 1
39 5 1
39 25 1
39 12 1
39 18 1
39 20 1
39 18 1
40 13 1
40 46 1
40 4 1
40 19 1
40 47 1
40 38 1
40 14 1
41 23 1
41 23 1
41 7 1
41 40 1
41 7 1
41 45 1
41 1 1
42 4 1
42 34 1
42 5 1
42 8 1
43 10 1
43 20 1
43 7 1
43 45 1
43 1 1
44 36 1
44 45 1
44 37 1
44 24 1
44 12 1
44 9 1
44 13 1
44 10 1
44 47 1
45 23 1
45 8 1
45 3 1
45 41 1
45 3 1
45 36 1
45 37 1
46 1 1
46 43 1
46 22 1
46 10 1
46 35 1
47 15 1
47 38 1
47 48 1
47 20 1
47 1 1
47 28 1
48 15 1
48 12 1
48 24 1
48 10 1
48 5 1
48 3 1
49 22 1
49 33 1
49 11 1
49 25 1
49 18 1
49 3 1
50 11 1
50 40 1
50 29 1
50 24 1
50 25 1
50 31 1
50 13 1
