70 140
1 53 1
1 26 2
2 32 8
2 38 6
3 10 9
3 36 3
4 55 6
4 10 9
5 69 5
5 44 9
6 30 3
6 29 8
7 64 9
7 69 2
8 12 6
8 65 5
9 42 1
9 39 4
10 33 8
10 5 7
11 7 5
11 5 8
12 57 2
12 1 8
13 36 7
13 64 5
14 27 6
14 61 6
15 11 1
15 25 6
16 61 2
16 15 9
17 5 4
17 32 4
18 6 7
18 54 7
19 39 9
19 33 5
20 46 7
20 36 7
21 43 1
21 15 2
22 56 3
22 39 6
23 44 4
23 60 8
24 3 7
24 27 6
25 47 6
25 44 3
26 55 9
26 37 4
27 68 7
27 5 8
28 44 6
28 60 2
29 53 6
29 37 1
30 12 6
30 55 9
31 21 5
31 67 4
32 30 3
32 14 8
33 12 6
33 1 8
34 42 9
34 4 7
35 23 7
35 39 6
36 31 3
36 38 7
37 16 7
37 25 6
38 8 3
38 62 2
39 42 4
39 58 1
40 4 1
40 60 6
41 39 9
41 31 1
42 8 8
42 41 4
43 10 1
43 50 8
44 39 2
44 56 2
45 2 7
45 12 4
46 38 4
46 65 8
47 45 9
47 21 2
48 30 5
48 56 2
49 38 5
49 67 6
50 1 5
50 17 1
51 61 9
51 36 7
52 28 2
52 32 7
53 15 6
53 5 5
54 13 6
54 68 5
55 63 2
55 1 9
56 53 3
56 2 8
57 60 8
57 62 6
58 3 1
58 38 8
59 4 8
59 41 8
60 39 8
60 44 2
61 49 3
61 43 7
62 61 9
62 43 1
63 27 7
63 39 1
64 8 6
64 6 4
65 15 2
65 27 6
66 45 2
66 36 2
67 49 3
67 39 3
68 53 8
68 45 5
69 23 9
69 10 7
70 68 4
70 47 1
0 0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 26
27 27
28 28
29 29
30 30
31 31
32 32
33 33
34 34
35 35
36 36
37 37
38 38
39 39
40 40
41 41
42 42
43 43
44 44
45 45
46 46
47 47
48 48
49 49
50 50
51 51
52 52
53 53
54 54
55 55
56 56
57 57
58 58
59 59
60 60
61 61
62 62
63 63
64 64
65 65
66 66
67 67
68 68
69 69
